Layer,Checkpoint,Task,Linear BA,Small MLP BA,Large MLP BA,Linear SA,Small MLP SA,Large MLP SA
1,1,0,0.1775,0.1538,0.199,0.6040555555555556,0.6421611111111111,0.6612222222222223
2,1,0,0.1775,0.1443,0.19935,0.6067111111111111,0.6420277777777778,0.6662333333333333
3,1,0,0.18855,0.1991,0.23435,0.5801333333333333,0.6591166666666667,0.7017111111111111
1,2,0,0.2032,0.2031,0.2031,0.6484611111111112,0.6742222222222222,0.6736888888888889
2,2,0,0.1976,0.2735,0.3257,0.7415055555555555,0.7855,0.8176833333333333
3,2,0,0.2142,0.27345,0.3287,0.7415388888888889,0.7761611111111111,0.8141277777777778
1,3,0,0.19595,0.1748,0.1963,0.6422666666666667,0.6563333333333333,0.6710222222222222
2,3,0,0.1921,0.28065,0.30205,0.7374722222222222,0.782,0.8075222222222223
3,3,0,0.2092,0.26825,0.31545,0.7381055555555556,0.7744388888888889,0.8133277777777778
1,4,0,0.19745,0.1981,0.19745,0.6238388888888889,0.6609444444444444,0.6691111111111111
2,4,0,0.20465,0.3039,0.3228,0.7650722222222223,0.7857388888888889,0.8043333333333333
3,4,0,0.25525,0.26295,0.35215,0.7616722222222222,0.7824277777777778,0.8123888888888889
1,1,1,0.1444,0.11205,0.1893,0.5726388888888889,0.6054944444444444,0.6449
2,1,1,0.15525,0.1006,0.20165,0.5708111111111112,0.5984444444444444,0.6656888888888889
3,1,1,0.15695,0.2017,0.21045,0.5588944444444445,0.6456277777777778,0.6908277777777778
1,2,1,0.1843,0.1961,0.1963,0.6085277777777778,0.6499,0.6680777777777778
2,2,1,0.1771,0.19665,0.20915,0.7237222222222223,0.7575055555555555,0.7764777777777778
3,2,1,0.18745,0.20485,0.21915,0.7155444444444444,0.7482333333333333,0.7740555555555556
1,3,1,0.18695,0.1986,0.19865,0.6126444444444444,0.6464555555555556,0.6666333333333333
2,3,1,0.16775,0.19975,0.20665,0.7234166666666667,0.7468166666666667,0.7782
3,3,1,0.17845,0.20365,0.2205,0.7157333333333333,0.7493055555555556,0.7716611111111111
1,4,1,0.18665,0.1977,0.1977,0.5830722222222222,0.63005,0.6569444444444444
2,4,1,0.19905,0.199,0.2207,0.7581333333333333,0.7661722222222223,0.77165
3,4,1,0.2037,0.20105,0.2282,0.7484833333333333,0.7649444444444444,0.7864277777777777
1,1,2,0.1739,0.1489,0.14895,0.6712444444444444,0.7557666666666667,0.7544944444444445
2,1,2,0.17065,0.15135,0.18205,0.6786888888888889,0.6777,0.7792111111111111
3,1,2,0.1698,0.22455,0.2859,0.6578722222222222,0.7896611111111111,0.8372722222222222
1,2,2,0.23595,0.2224,0.2339,0.7788666666666667,0.7929611111111111,0.7944444444444444
2,2,2,0.50155,0.73435,0.8135,0.9082,0.9560388888888889,0.9708277777777777
3,2,2,0.53525,0.7334,0.8582,0.9093722222222222,0.9541555555555555,0.9774611111111111
1,3,2,0.23785,0.2121,0.23455,0.7775888888888889,0.7888888888888889,0.7947666666666666
2,3,2,0.49585,0.7437,0.81625,0.9050888888888889,0.9585888888888889,0.97225
3,3,2,0.5233,0.7303,0.85255,0.9074833333333333,0.9536611111111111,0.9770333333333333
1,4,2,0.20055,0.22505,0.2362,0.7514166666666666,0.7928388888888889,0.7947722222222222
2,4,2,0.81815,0.879,0.8975,0.9610833333333333,0.9731777777777778,0.97975
3,4,2,0.8001,0.871,0.89955,0.9543444444444444,0.9716055555555555,0.9804166666666667
1,1,3,0.9152,0.92475,0.92475,0,0,0
2,1,3,0.9152,0.9168,0.92405,0,0,0
3,1,3,0.9046,0.925,0.9247,0,0,0
1,2,3,0.9233,0.9232,0.9229,0,0,0
2,2,3,0.95505,0.9871,0.98885,0,0,0
3,2,3,0.96605,0.9875,0.989,0,0,0
1,3,3,0.9214,0.92025,0.9225,0,0,0
2,3,3,0.95385,0.98785,0.988,0,0,0
3,3,3,0.96625,0.9878,0.98895,0,0,0
1,4,3,0.91965,0.9216,0.9214,0,0,0
2,4,3,0.9231,0.988,0.9895,0,0,0
3,4,3,0.96905,0.98775,0.99055,0,0,0
