Checkpoint,Task,Head,Linear BA,Small MLP BA,Large MLP BA,Linear SA,Small MLP SA,Large MLP SA
1,0,0,0.11155,0.14655,0.2135,0.5824444444444444,0.6522055555555556,0.6817222222222222
1,0,1,0.15545,0.12275,0.1919,0.59485,0.6251222222222222,0.6905277777777777
2,0,0,0.1497,0.18675,0.219,0.66525,0.7103777777777778,0.7486055555555555
2,0,1,0.15425,0.18035,0.2364,0.6834111111111111,0.7161222222222222,0.7636555555555555
3,0,0,0.14185,0.189,0.21145,0.6647611111111111,0.7113666666666667,0.7452166666666666
3,0,1,0.1474,0.15265,0.2214,0.6806777777777778,0.7041777777777778,0.7578166666666667
4,0,0,0.146,0.1919,0.2215,0.6467277777777778,0.6843333333333333,0.7269222222222222
4,0,1,0.157,0.2017,0.274,0.6938111111111112,0.7187277777777777,0.7668888888888888
1,1,0,0.1119,0.1377,0.20235,0.5841833333333334,0.6299222222222223,0.6811555555555555
1,1,1,0.15605,0.17275,0.2003,0.5965111111111111,0.6651611111111111,0.7025388888888889
2,1,0,0.14595,0.1877,0.2282,0.6427333333333334,0.6989722222222222,0.7447333333333334
2,1,1,0.14545,0.156,0.20455,0.6802888888888889,0.7091055555555555,0.7535277777777778
3,1,0,0.14875,0.1791,0.2262,0.6478111111111111,0.6957055555555556,0.7373444444444445
3,1,1,0.14605,0.15625,0.1907,0.6798722222222222,0.7023388888888888,0.7513611111111111
4,1,0,0.1247,0.2041,0.2306,0.6444388888888889,0.6942166666666667,0.7469111111111111
4,1,1,0.1383,0.1934,0.2102,0.6835888888888889,0.7013111111111111,0.7535722222222222
1,2,0,0.1562,0.1428,0.17515,0.7614777777777778,0.7578222222222222,0.7755388888888889
1,2,1,0.19755,0.2523,0.3128,0.7790166666666667,0.8230722222222222,0.8508333333333333
2,2,0,0.1795,0.2497,0.35385,0.7617111111111111,0.7948388888888889,0.8419833333333333
2,2,1,0.2359,0.31125,0.56545,0.8383055555555555,0.8721055555555556,0.9352555555555555
3,2,0,0.17115,0.21555,0.3392,0.7576555555555555,0.7902444444444444,0.8400722222222222
3,2,1,0.23035,0.3038,0.5662,0.8374333333333334,0.8673,0.9370333333333334
4,2,0,0.1485,0.25105,0.2802,0.7365055555555555,0.7907777777777778,0.8068777777777778
4,2,1,0.2625,0.4054,0.6743,0.8480277777777778,0.8975611111111111,0.9520611111111111
1,3,0,0.79215,0.84875,0.8696,0,0,0
1,3,1,0.81735,0.8524,0.8673,0,0,0
2,3,0,0.8182,0.8589,0.90965,0,0,0
2,3,1,0.92225,0.92435,0.92475,0,0,0
3,3,0,0.8189,0.8597,0.90715,0,0,0
3,3,1,0.9214,0.92525,0.92525,0,0,0
4,3,0,0.83515,0.87155,0.93575,0,0,0
4,3,1,0.8437,0.89515,0.90855,0,0,0
